Meeting; 11.03.2025;1;first meeting and planning
Implementing Game;27.03.2025;5;Proof of Concept
Implementing Game;28.03.2025;5;Proof of Concept
Meeting; 02.04.2025;1;second meeting
Implementing Game;04.04.2025;5;refactoring and documentation 
Implementing Game;05.04.2025;5;refactoring and documentation 
Implementing Visualization;11.04.2025;3;Proof of Concept (insertion sort only)
Implementing Visualization;12.04.2025;4;other primitive sort algorithms
Implementing Visualization;04.07.2025;4;draft of merge sort
Implementing Visualization;05.07.2025;3;refactoring, visual improvements
Game Manual;08.07.2025;5;first draft
Meeting; 09.07.2025;1;third meeting
Implementing Game;09.07.2025;5;rearrangement of elements, improving icons
Implementing Visualization;10.07.2025;4;refactoring, visual improvements
Implementing Game;10.07.2025;2;refactoring
Game Manual;10.07.2025;1;added screencaps, updated structure according to code refactoring
Implementing Visualization;11.07.2025;5;refactoring, merge details
Implementing Visualization;12.07.2025;2;improved merge details
Game Manual;12.07.2025;4;changed structure